"","y","x"
"1",134.683923606554,6
"2",144.142385695407,7
"3",153.557217280743,8
"4",162.923597870083,9
"5",172.23670697095,10
"6",181.491724090863,11
"7",190.683828737347,12
"8",199.808200417922,13
"9",208.860018640109,14
"10",217.834462911432,15
"11",226.726712739411,16
"12",235.531947631568,17
"13",244.245347095426,18
"14",252.862090638505,19
"15",261.377357768329,20
"16",269.786327992417,21
"17",278.084180818293,22
"18",286.266095753478,23
"19",294.327252305494,24
"20",302.262933866882,25
"21",310.090166263916,26
"22",317.826476233147,27
"23",325.475490210313,28
"24",333.040834631153,29
"25",340.526135931405,30
"26",347.935020546807,31
"27",355.271114913098,32
"28",362.538045466017,33
"29",369.739438641301,34
"30",376.878920874689,35
"31",383.96011860192,36
"32",390.986658258732,37
"33",397.962166280864,38
"34",404.890269104054,39
"35",411.77459316404,40
"36",418.61876489656,41
"37",425.426410737354,42
"38",432.20115712216,43
"39",438.946630486716,44
"40",445.66645726676,45
"41",452.364263898031,46
"42",458.947459496195,47
"43",465.300035730878,48
"44",471.470589781837,49
"45",477.50941085038,50
"46",483.466788137813,51
"47",489.393010845445,52
"48",495.338368174584,53
"49",501.353149326537,54
"50",507.487643502611,55
"51",513.792127712055,56
"52",520.084032259651,57
"53",526.323933998332,58
"54",533.000062558248,59
"55",541.130101817859,60
"56",550.568351311125,61
"57",561.044735560684,62
"58",572.289179089174,63
"59",584.031606419234,64
"60",596.001942073502,65
"61",607.930110574614,66
"62",619.54603644521,67
"63",630.579644207927,68
"64",640.760858385403,69
"65",649.819603500277,70
"66",657.485804075185,71
"67",663.489384632767,72
"68",669.456495825076,73
"69",678.393585668614,74
"70",687.787578076462,75
"71",694.903177089919,76
"72",698.19174201047,77
"73",702.672026577624,78
"74",708.900252413355,79
"75",716.412376969143,80
"76",724.744357696471,81
"77",733.432152046819,82
"78",742.01171747167,83
"79",750.019011422505,84
"80",756.989991350806,85
"81",762.460614708054,86
"82",765.966838945731,87
"83",767.044621515317,88
"84",765.229919868296,89
"85",759.888679911524,90
"86",749.271773404519,91
"87",733.810841083053,92
"88",714.488168514246,93
"89",692.286041265215,94
"90",668.186744903079,95
"91",643.172564994956,96
"92",618.225787107964,97
"93",594.328696809222,98
"94",572.463579665848,99
"95",553.612721244959,100
"96",538.758407113675,101
"97",527.50464239375,102
"98",512.878976407019,103
"99",494.976685267478,104
"100",475.243921248404,105
"101",455.126836623073,106
"102",436.071583664761,107
"103",419.524314646747,108
"104",406.90018576942,109
"105",395.167694928229,110
"106",383.60809487792,111
"107",373.90900468456,112
"108",364.968347475047,113
"109",356.691197417789,114
"110",349.027061746803,115
"111",341.925447696104,116
"112",335.33586249971,117
"113",329.207813391636,118
"114",323.490807605899,119
"115",318.134352376515,120
"116",313.087954937501,121
"117",308.301122522872,122
"118",303.723362366645,123
"119",299.626023969088,124
"120",298.969756072689,125
"121",300.238333551227,126
"122",300.591847278771,127
"123",297.880770530347,128
"124",297.069464922815,129
"125",298.918752248825,130
"126",302.373773534662,131
"127",306.379669806612,132
"128",309.881582090961,133
"129",311.824651413992,134
"130",311.154018801992,135
"131",308.593057458,136
"132",305.683653711703,137
"133",302.490366988733,138
"134",299.077552485768,139
"135",295.509565399489,140
"136",291.850760926576,141
"137",288.165494263709,142
"138",284.518120607569,143
"139",280.972995154835,144
"140",277.594473102187,145
"141",274.446909646307,146
"142",271.594116944437,147
"143",268.603295925511,148
"144",265.123010110328,149
"145",261.246128525143,150
"146",257.065520196207,151
"147",252.674054149776,152
"148",248.164599412101,153
"149",243.630025009437,154
"150",239.163199968036,155
"151",234.856993314152,156
"152",230.804274074038,157
"153",227.097911273947,158
"154",223.830773940133,159
"155",221.095731098849,160
"156",218.985651776348,161
"157",217.592832657241,162
"158",216.927453285946,163
"159",216.880309454807,164
"160",217.340410418916,165
"161",218.196765433365,166
"162",219.338383753247,167
"163",220.654274633655,168
"164",222.03344732968,169
"165",223.364911096414,170
"166",224.537675188951,171
"167",225.440748862382,172
"168",225.9631413718,173
"169",226.356635955712,174
"170",227.318170064743,175
"171",228.672969197158,176
"172",230.208690510266,177
"173",231.71299116138,178
"174",232.97352830781,179
"175",233.777959106868,180
"176",234.024626005551,181
"177",234.135542065334,182
"178",234.185866751654,183
"179",234.184495097928,184
"180",234.140322137575,185
"181",234.062242904011,186
"182",233.959152430655,187
"183",233.839945750924,188
"184",233.713517898236,189
"185",233.588763906008,190
"186",233.474578807659,191
"187",233.379857636605,192
"188",233.313495426265,193
"189",233.284387210057,194
"190",233.301428021397,195
"191",233.373512893703,196
"192",233.509536860394,197
"193",233.718394954886,198
"194",234.008982210598,199
"195",233.911895900684,200
"196",233.389997644026,201
"197",233.225114117115,202
"198",233.462699007694,203
"199",233.411932842632,204
"200",233.13170515529,205
"201",232.687208792681,206
"202",232.143636601814,207
"203",231.566181429702,208
"204",231.020036123357,209
"205",230.570393529788,210
"206",230.282446496008,211
"207",230.221387869029,212
"208",230.452410495861,213
"209",231.040707223516,214
"210",232.051470899005,215
"211",233.549894369339,216
"212",235.60117048153,217
"213",238.27049208259,218
"214",241.623366702686,219
"215",245.688290921769,220
"216",250.405034442953,221
"217",255.702132963642,222
"218",261.508122181237,223
"219",267.751537793141,224
"220",274.360915496758,225
"221",281.264790989489,226
"222",288.391699968737,227
"223",295.670178131904,228
"224",303.028761176394,229
"225",310.395984799608,230
"226",317.70038469895,231
"227",324.870496571822,232
"228",331.834856115626,233
"229",338.521999027766,234
