"sample_id","species_code","tot.catch","start_rm"
548192,"SUC",2,165.5
548193,"FHM",1,165.66
548193,"FMS",9,165.66
548193,"HBC",5,165.66
548193,"SPD",16,165.66
548194,"FMS",125,165.8
548194,"RBT",1,165.8
548194,"SPD",1,165.8
548195,"FMS",2,166.12
548195,"HBC",2,166.12
548195,"SPD",6,166.12
548196,"BHS",2,165.53
548196,"FMS",36,165.53
548196,"HBC",4,165.53
548196,"SPD",2,165.53
548197,"FMS",2,152.11
548197,"SPD",5,152.11
548198,"FHM",1,152.2
548198,"FMS",3,152.2
548198,"SPD",1,152.2
548199,"FMS",43,219.4
548199,"HBC",5,219.4
548199,"SPD",20,219.4
548200,"FMS",45,219.44
548200,"HBC",1,219.44
548200,"SPD",8,219.44
548201,"FMS",55,206.69
548201,"HBC",2,206.69
548201,"SPD",9,206.69
548202,"BHS",4,207.93
548202,"FHM",3,207.93
548202,"FMS",158,207.93
548202,"HBC",2,207.93
548202,"SPD",18,207.93
548203,"BHS",5,208.06
548203,"FHM",1,208.06
548203,"FMS",144,208.06
548203,"HBC",5,208.06
548203,"SPD",67,208.06
548204,"BHS",2,208.09
548204,"FMS",112,208.09
548204,"HBC",1,208.09
548204,"PKF",1,208.09
548204,"SPD",56,208.09
548205,"BHS",3,208.39
548205,"FHM",4,208.39
548205,"FMS",221,208.39
548205,"HBC",23,208.39
548205,"SPD",130,208.39
548206,"FMS",92,208.56
548206,"HBC",6,208.56
548206,"SPD",38,208.56
548207,"FMS",60,219.94
548207,"SPD",2,219.94
548208,"BHS",1,220.09
548208,"FMS",205,220.09
548208,"HBC",1,220.09
548208,"SPD",24,220.09
548209,"SPD",1,1.57
548210,"NFC",1,1.62
548211,"NFC",1,2.54
548212,"BHS",1,3.24
548213,"NFC",1,3.46
548214,"NFC",1,3.22
548215,"NFC",1,3.74
548216,"NFC",1,3.75
548217,"FMS",1,4.08
548218,"NFC",1,4.39
548219,"NFC",1,4.7
548220,"FMS",1,5.84
548221,"NFC",1,7.41
548222,"NFC",1,8.87
548223,"NFC",1,10.68
548224,"NFC",1,10.97
548225,"FMS",11,35.63
548225,"HBC",3,35.63
548226,"HBC",2,37.23
548226,"RBT",1,37.23
548227,"FMS",4,37.28
548227,"HBC",1,37.28
548227,"SPD",2,37.28
548228,"NFC",1,17.6
548229,"NFC",1,18.6
548230,"NFC",1,19.59
548231,"NFC",1,20.55
548232,"NFC",1,22.02
548233,"NFC",1,23.05
548234,"NFC",1,26.25
548235,"HBC",7,36.18
548235,"SUC",1,36.18
548236,"NFC",1,51.74
548237,"FMS",31,54.94
548237,"HBC",24,54.94
548238,"FMS",2,55.52
548238,"HBC",1,55.52
548239,"FMS",6,55.88
548239,"HBC",1,55.88
548240,"FMS",88,55.87
548241,"RBT",1,59.34
548242,"HBC",5,63.04
548243,"FMS",2,63.1
548243,"HBC",1,63.1
548244,"FHM",2,64.94
548244,"FMS",2,64.94
548244,"HBC",3,64.94
548245,"HBC",2,50.49
548245,"SPD",1,50.49
548246,"FMS",1,50.81
548247,"FMS",1,50.84
548247,"HBC",7,50.84
548247,"UID",1,50.84
548248,"HBC",1,50.8
548249,"FMS",1,50.85
548250,"FMS",1,51.02
548251,"NFC",1,51.04
548252,"FMS",1,121.33
548252,"HBC",1,121.33
548253,"FMS",12,121.85
548253,"SPD",3,121.85
548254,"FMS",3,139.56
548254,"SPD",2,139.56
548255,"FMS",1,139.56
548255,"SPD",6,139.56
548256,"FMS",1,140.37
548257,"FMS",5,141.41
548257,"SPD",5,141.41
548258,"FMS",5,141.44
548258,"HBC",1,141.44
548259,"FMS",6,141.6
548259,"SPD",7,141.6
548260,"FMS",8,141.65
548260,"SPD",3,141.65
