"","y","x"
"1",NA,0
"2",140.139817389199,1
"3",140.309902610522,2
"4",140.443530777324,3
"5",140.541727098981,4
"6",140.605516784869,5
"7",140.635925044361,6
"8",140.633977086834,7
"9",140.600698121662,8
"10",140.53711335822,9
"11",140.444233609716,10
"12",140.319564331786,11
"13",140.160577576845,12
"14",139.967082742266,13
"15",139.73888922542,14
"16",139.475806423679,15
"17",139.177643734416,16
"18",138.844210555001,17
"19",138.475316282806,18
"20",138.070770315204,19
"21",137.630382049566,20
"22",137.153960883264,21
"23",136.641316213669,22
"24",136.092257438154,23
"25",135.50659395409,24
"26",134.884135158848,25
"27",134.224690449801,26
"28",133.528069224321,27
"29",132.794080879779,28
"30",132.022535276553,29
"31",131.215108411752,30
"32",130.373167890114,31
"33",129.496234406609,32
"34",128.583828656205,33
"35",127.635471333872,34
"36",126.65068313458,35
"37",125.628984753298,36
"38",124.569896884996,37
"39",123.472940224644,38
"40",122.33763546721,39
"41",121.164092476883,40
"42",119.965714099305,41
"43",118.745452652187,42
"44",117.499571554462,43
"45",116.224334225059,44
"46",114.916004082912,45
"47",113.57084454695,46
"48",112.185119036105,47
"49",110.755090969308,48
"50",109.27702376549,49
"51",107.747183020054,50
"52",106.173854805297,51
"53",104.566431945554,52
"54",102.923768143501,53
"55",101.244717101814,54
"56",99.528132523168,55
"57",97.7728681102396,56
"58",95.9777775657042,57
"59",94.1112724010278,58
"60",92.0259271944523,59
"61",89.7357192370807,60
"62",87.2799628913758,61
"63",84.6979725198002,62
"64",82.0290624848166,63
"65",79.3125471488876,64
"66",76.587740874476,65
"67",73.8939580240443,66
"68",71.2705129600553,67
"69",68.7567200449717,68
"70",66.3918936412561,69
"71",64.2153481113711,70
"72",62.0920125894566,71
"73",59.615536204197,72
"74",56.8512614867335,73
"75",53.8915655802157,74
"76",50.8288256277937,75
"77",47.755418772617,76
"78",44.7637221578355,77
"79",41.946112926599,78
"80",39.3949682220572,79
"81",37.20266518736,80
"82",35.3104224893684,81
"83",33.2402911146253,82
"84",31.0079055386465,83
"85",28.6806652576661,84
"86",26.325969767918,85
"87",24.0112185656359,86
"88",21.8038111470538,87
"89",19.7711470084056,88
"90",17.9806256459252,89
"91",16.4996465558464,90
"92",15.3148791692054,91
"93",14.2029064256554,92
"94",13.1488439314506,93
"95",12.1566274106987,94
"96",11.230192587507,95
"97",10.3734751859832,96
"98",9.5904109302348,97
"99",8.88493554436936,98
"100",8.26098475249442,99
"101",7.72249427871753,100
"102",7.27339984714622,101
"103",6.91763718188805,102
"104",6.65914200705056,103
"105",6.50185004674129,104
"106",6.4496970250678,105
"107",6.52051476934821,106
"108",6.81387256429532,107
"109",7.32845438879657,108
"110",8.03956633906839,109
"111",8.9225145113272,110
"112",9.9526050017894,111
"113",11.1051439066714,112
"114",12.3554373221897,113
"115",13.6787913445605,114
"116",15.0505120700005,115
"117",16.4459055947259,116
"118",17.8402780149532,117
"119",19.2089354268989,118
"120",20.5271839267792,119
"121",21.7703296108107,120
"122",22.9492928959192,121
"123",24.323431391601,122
"124",25.916952584074,123
"125",27.6897399885845,124
"126",29.6016771203785,125
"127",31.6126474947023,126
"128",33.682534626802,127
"129",35.7712220319237,128
"130",37.8385932253137,129
"131",39.844531722218,130
"132",41.7489210378828,131
"133",43.5116446875542,132
"134",45.0925861864785,133
"135",46.6531013337477,134
"136",48.393658108343,135
"137",50.253662822512,136
"138",52.1716812239774,137
"139",54.0862790604619,138
"140",55.9360220796882,139
"141",57.6594760293791,140
"142",59.2235872805976,141
"143",60.8493789536117,142
"144",62.5718308226318,143
"145",64.3594726263222,144
"146",66.1808341033472,145
"147",68.0044449923713,146
"148",69.7988350320586,147
"149",71.5325339610735,148
"150",73.1740715180805,149
"151",74.6919774417437,150
"152",76.13120098172,151
"153",77.6125197908592,152
"154",79.1275176068732,153
"155",80.6647775418574,154
"156",82.2128827079076,155
"157",83.760416217119,156
